"f0_box","temp","date_collected","sex","pronotum","rwing_length","rwing_width","lwing_length","lwing_width","rep","pron.w.ratio","sw.yn","rearing_density","days_to_hatch"
"B","28","20/08/2021","M",3.81,13.24,"4.39","",NA,"B.28.20/08/2021",0.287764350453172,"Lw",159,11
"B","28","20/08/2021","M",3.99,13.68,"4.66","",NA,"B.28.20/08/2021",0.291666666666667,"Lw",159,11
"B","28","20/08/2021","M",4.12,14.25,"4.76","",NA,"B.28.20/08/2021",0.289122807017544,"Lw",159,11
"B","28","20/08/2021","M",4,13.92,"4.48","",NA,"B.28.20/08/2021",0.28735632183908,"Lw",159,11
"B","28","20/08/2021","M",4.08,14.08,"4.52","",NA,"B.28.20/08/2021",0.289772727272727,"Lw",159,11
"B","28","20/08/2021","M",4.11,14.17,"4.67","",NA,"B.28.20/08/2021",0.290049400141143,"Lw",159,11
"B","28","20/08/2021","M",4.05,14.02,"4.68","",NA,"B.28.20/08/2021",0.288873038516405,"Lw",159,11
"B","28","20/08/2021","M",3.97,13.8,"4.47","",NA,"B.28.20/08/2021",0.28768115942029,"Lw",159,11
"B","28","20/08/2021","M",4.03,13.98,"4.48","",NA,"B.28.20/08/2021",0.28826895565093,"Lw",159,11
"B","28","20/08/2021","M",4.06,13.69,"4.57","",NA,"B.28.20/08/2021",0.296566837107378,"Lw",159,11
"B","28","20/08/2021","M",4.25,14.24,"4.81","",NA,"B.28.20/08/2021",0.298455056179775,"Lw",159,11
"B","28","20/08/2021","M",4.1,13.84,"4.49","",NA,"B.28.20/08/2021",0.296242774566474,"Lw",159,11
"B","28","20/08/2021","M",4.07,14.03,"4.72","",NA,"B.28.20/08/2021",0.290092658588738,"Lw",159,11
"B","28","20/08/2021","M",4.1,14.24,"4.63","",NA,"B.28.20/08/2021",0.287921348314607,"Lw",159,11
"B","28","20/08/2021","M",4.03,14,"4.74","",NA,"B.28.20/08/2021",0.287857142857143,"Lw",159,11
"B","28","20/08/2021","M",4.12,14.07,"4.68","",NA,"B.28.20/08/2021",0.292821606254442,"Lw",159,11
"B","28","20/08/2021","M",3.98,13.82,"4.47","",NA,"B.28.20/08/2021",0.287988422575977,"Lw",159,11
"B","28","20/08/2021","M",4.13,13.99,"4.52","",NA,"B.28.20/08/2021",0.295210864903503,"Lw",159,11
"B","28","20/08/2021","M",4.26,14.84,"4.7","",NA,"B.28.20/08/2021",0.287061994609164,"Lw",159,11
"B","28","20/08/2021","M",3.75,13.21,"4.31","",NA,"B.28.20/08/2021",0.283875851627555,"Lw",159,11
"B","28","20/08/2021","M",4.04,14.2,"4.54","",NA,"B.28.20/08/2021",0.284507042253521,"Lw",159,11
"B","28","20/08/2021","M",3.82,13.27,"4.42","",NA,"B.28.20/08/2021",0.287867370007536,"Lw",159,11
"C","28","13/08/2021","F",4.23,13.85,"","",NA,"C.28.13/08/2021",0.305415162454874,"Lw",85,18
"C","28","13/08/2021","F",4.01,13.93,"","",NA,"C.28.13/08/2021",0.287867910983489,"Lw",85,18
"C","28","13/08/2021","F",3.9,13.82,"","",NA,"C.28.13/08/2021",0.282199710564399,"Lw",85,18
"C","28","13/08/2021","F",4.11,13.68,"","",NA,"C.28.13/08/2021",0.300438596491228,"Lw",85,18
"C","28","13/08/2021","F",4.04,13.83,"","",NA,"C.28.13/08/2021",0.292118582791034,"Lw",85,18
"C","28","13/08/2021","F",3.89,13.27,"","",NA,"C.28.13/08/2021",0.293142426525999,"Lw",85,18
"C","28","13/08/2021","F",4.13,14.02,"","",NA,"C.28.13/08/2021",0.294579172610556,"Lw",85,18
"C","28","13/08/2021","F",4.04,14.01,"","",NA,"C.28.13/08/2021",0.28836545324768,"Lw",85,18
"C","28","13/08/2021","F",3.7,13.15,"","",NA,"C.28.13/08/2021",0.281368821292776,"Lw",85,18
"C","28","13/08/2021","F",4.12,14.15,"","",NA,"C.28.13/08/2021",0.291166077738516,"Lw",85,18
"C","28","13/08/2021","F",3.92,13.14,"","",NA,"C.28.13/08/2021",0.298325722983257,"Lw",85,18
"C","28","13/08/2021","F",4.11,14.21,"","",NA,"C.28.13/08/2021",0.289232934553132,"Lw",85,18
"C","28","13/08/2021","F",4.2,14.14,"","",NA,"C.28.13/08/2021",0.297029702970297,"Lw",85,18
"C","28","13/08/2021","F",4.05,13.75,"","",NA,"C.28.13/08/2021",0.294545454545455,"Lw",85,18
"C","28","13/08/2021","F",4.01,13.72,"","",NA,"C.28.13/08/2021",0.292274052478134,"Lw",85,18
"C","28","13/08/2021","F",3.79,12.96,"","",NA,"C.28.13/08/2021",0.292438271604938,"Lw",85,18
"C","28","13/08/2021","M",4.09,13.79,"4.52","",NA,"C.28.13/08/2021",0.296591733139957,"Lw",85,18
"C","28","13/08/2021","M",4.06,13.86,"4.58","",NA,"C.28.13/08/2021",0.292929292929293,"Lw",85,18
"C","28","13/08/2021","M",4.1,13.73,"4.69","",NA,"C.28.13/08/2021",0.298616168973052,"Lw",85,18
"C","28","13/08/2021","M",4.03,13.55,"4.51","",NA,"C.28.13/08/2021",0.297416974169742,"Lw",85,18
"C","28","13/08/2021","M",4.12,14,"4.66","",NA,"C.28.13/08/2021",0.294285714285714,"Lw",85,18
"C","28","13/08/2021","M",4.16,14.33,"4.84","",NA,"C.28.13/08/2021",0.290300069783671,"Lw",85,18
"C","28","13/08/2021","M",4.1,13.91,"4.73","",NA,"C.28.13/08/2021",0.294751976994968,"Lw",85,18
"C","28","13/08/2021","M",4.19,13.99,"4.67","",NA,"C.28.13/08/2021",0.299499642601859,"Lw",85,18
"C","28","13/08/2021","M",4.17,14.07,"4.87","",NA,"C.28.13/08/2021",0.29637526652452,"Lw",85,18
"C","28","13/08/2021","M",4.25,14.12,"4.69","",NA,"C.28.13/08/2021",0.300991501416431,"Lw",85,18
"C","28","13/08/2021","M",4.17,14.29,"4.83","",NA,"C.28.13/08/2021",0.291812456263121,"Lw",85,18
"C","28","13/08/2021","M",4.14,13.99,"4.68","",NA,"C.28.13/08/2021",0.295925661186562,"Lw",85,18
"C","28","13/08/2021","M",3.93,14.04,"4.52","",NA,"C.28.13/08/2021",0.27991452991453,"Lw",85,18
"C","28","13/08/2021","M",4.23,14.09,"4.79","",NA,"C.28.13/08/2021",0.300212916962385,"Lw",85,18
"C","28","13/08/2021","M",4.08,13.89,"4.68","",NA,"C.28.13/08/2021",0.293736501079914,"Lw",85,18
"B","28","06/08/2021","F",3.91,13.26,"","",NA,"B.28.06/08/2021",0.294871794871795,"Lw",289,11
"B","28","06/08/2021","F",4.04,13.1,"","",NA,"B.28.06/08/2021",0.308396946564886,"Lw",289,11
"B","28","06/08/2021","F",4.11,13.25,"","",NA,"B.28.06/08/2021",0.310188679245283,"Lw",289,11
"B","28","06/08/2021","F",3.97,13.5,"","",NA,"B.28.06/08/2021",0.294074074074074,"Lw",289,11
"B","28","06/08/2021","F",4.25,13.68,"","",NA,"B.28.06/08/2021",0.310672514619883,"Lw",289,11
"B","28","06/08/2021","F",3.81,13.62,"","",NA,"B.28.06/08/2021",0.279735682819383,"Lw",289,11
"B","28","06/08/2021","F",3.82,13.14,"","",NA,"B.28.06/08/2021",0.290715372907154,"Lw",289,11
"B","28","06/08/2021","F",3.87,12.92,"","",NA,"B.28.06/08/2021",0.29953560371517,"Lw",289,11
"B","28","06/08/2021","F",4.02,13.54,"","",NA,"B.28.06/08/2021",0.296898079763663,"Lw",289,11
"B","28","06/08/2021","F",3.88,13.01,"","",NA,"B.28.06/08/2021",0.298232129131437,"Lw",289,11
"B","28","06/08/2021","F",3.97,13.44,"","",NA,"B.28.06/08/2021",0.295386904761905,"Lw",289,11
"B","28","06/08/2021","F",4.06,13.96,"","",NA,"B.28.06/08/2021",0.290830945558739,"Lw",289,11
"B","28","06/08/2021","F",3.87,12.99,"","",NA,"B.28.06/08/2021",0.297921478060046,"Lw",289,11
"B","28","06/08/2021","F",4.01,13.05,"","",NA,"B.28.06/08/2021",0.30727969348659,"Lw",289,11
"B","28","06/08/2021","F",3.9,13.71,"","",NA,"B.28.06/08/2021",0.284463894967177,"Lw",289,11
"B","28","06/08/2021","F",3.87,13.32,"","",NA,"B.28.06/08/2021",0.29054054054054,"Lw",289,11
"B","28","06/08/2021","M",4.04,13.79,"4.42","",NA,"B.28.06/08/2021",0.2929659173314,"Lw",289,11
"B","28","06/08/2021","F",3.84,12.86,"","",NA,"B.28.06/08/2021",0.298600311041991,"Lw",289,11
"B","28","06/08/2021","F",4.04,13.97,"","",NA,"B.28.06/08/2021",0.289191123836793,"Lw",289,11
"B","28","06/08/2021","F",3.96,13.73,"","",NA,"B.28.06/08/2021",0.288419519300801,"Lw",289,11
"B","28","06/08/2021","F",4.1,13.92,"","",NA,"B.28.06/08/2021",0.294540229885057,"Lw",289,11
"B","28","06/08/2021","F",3.95,13.3,"","",NA,"B.28.06/08/2021",0.296992481203008,"Lw",289,11
"B","28","06/08/2021","F",3.72,12.75,"","",NA,"B.28.06/08/2021",0.291764705882353,"Lw",289,11
"B","28","06/08/2021","F",3.96,13.37,"","",NA,"B.28.06/08/2021",0.296185489902767,"Lw",289,11
"B","28","06/08/2021","F",4.07,13.11,"","",NA,"B.28.06/08/2021",0.310450038138825,"Lw",289,11
"B","28","06/08/2021","F",4.08,13.58,"","",NA,"B.28.06/08/2021",0.300441826215022,"Lw",289,11
"B","28","06/08/2021","F",3.97,14.18,"","",NA,"B.28.06/08/2021",0.279971791255289,"Lw",289,11
"B","28","06/08/2021","F",3.86,13.58,"","",NA,"B.28.06/08/2021",0.284241531664212,"Lw",289,11
"B","28","06/08/2021","M",4.18,14.01,"4.78","",NA,"B.28.06/08/2021",0.298358315488936,"Lw",289,11
"B","28","06/08/2021","M",3.9,13.15,"4.27","",NA,"B.28.06/08/2021",0.296577946768061,"Lw",289,11
"B","28","06/08/2021","M",4.08,13.67,"4.42","",NA,"B.28.06/08/2021",0.298463789319678,"Lw",289,11
"B","28","06/08/2021","M",4.05,13.47,"4.51","",NA,"B.28.06/08/2021",0.300668151447661,"Lw",289,11
"B","28","06/08/2021","M",4.24,14.17,"4.65","",NA,"B.28.06/08/2021",0.299223712067749,"Lw",289,11
"B","28","06/08/2021","M",4.02,13.5,"4.65","",NA,"B.28.06/08/2021",0.297777777777778,"Lw",289,11
"B","28","06/08/2021","M",3.96,13.58,"4.43","",NA,"B.28.06/08/2021",0.29160530191458,"Lw",289,11
"B","28","06/08/2021","M",4.14,13.79,"4.53","",NA,"B.28.06/08/2021",0.300217548948513,"Lw",289,11
"B","28","06/08/2021","M",4.1,13.87,"4.71","",NA,"B.28.06/08/2021",0.295602018745494,"Lw",289,11
"B","28","06/08/2021","M",4.04,13.26,"4.46","",NA,"B.28.06/08/2021",0.304675716440422,"Lw",289,11
"B","28","06/08/2021","M",4.07,13.99,"4.69","",NA,"B.28.06/08/2021",0.290922087205147,"Lw",289,11
"B","28","06/08/2021","M",4.18,13.99,"4.68","",NA,"B.28.06/08/2021",0.298784846318799,"Lw",289,11
"B","28","06/08/2021","M",4.02,13.46,"4.46","",NA,"B.28.06/08/2021",0.298662704309064,"Lw",289,11
"B","28","06/08/2021","M",3.94,13.96,"4.57","",NA,"B.28.06/08/2021",0.282234957020057,"Lw",289,11
"B","28","06/08/2021","M",3.92,13.54,"4.37","",NA,"B.28.06/08/2021",0.289512555391433,"Lw",289,11
"B","28","06/08/2021","M",4.11,14.22,"4.67","",NA,"B.28.06/08/2021",0.289029535864979,"Lw",289,11
"B","28","06/08/2021","M",4.03,13.53,"4.49","",NA,"B.28.06/08/2021",0.297856614929786,"Lw",289,11
"B","28","06/08/2021","M",4.06,13.97,"4.64","",NA,"B.28.06/08/2021",0.290622763063708,"Lw",289,11
"B","28","06/08/2021","M",4.22,14.45,"4.81","",NA,"B.28.06/08/2021",0.292041522491349,"Lw",289,11
"B","28","06/08/2021","M",3.93,13.96,"4.64","",NA,"B.28.06/08/2021",0.281518624641834,"Lw",289,11
"B","28","06/08/2021","M",3.97,13.42,"4.54","",NA,"B.28.06/08/2021",0.295827123695976,"Lw",289,11
"B","28","06/08/2021","M",4.01,13.51,"4.68","",NA,"B.28.06/08/2021",0.296817172464841,"Lw",289,11
"B","28","06/08/2021","M",4.1,14.03,"4.87","",NA,"B.28.06/08/2021",0.292230933713471,"Lw",289,11
"B","28","06/08/2021","M",4,13.38,"4.3","",NA,"B.28.06/08/2021",0.298953662182362,"Lw",289,11
"B","28","06/08/2021","M",3.82,13.78,"4.47","",NA,"B.28.06/08/2021",0.277213352685051,"Lw",289,11
"B","28","06/08/2021","M",3.96,13.72,"4.71","",NA,"B.28.06/08/2021",0.288629737609329,"Lw",289,11
"B","28","06/08/2021","M",4.05,13.49,"4.61","",NA,"B.28.06/08/2021",0.300222386953299,"Lw",289,11
"B","28","31/07/2021","F",3.9,13.46,"","",NA,"B.28.31/07/2021",0.289747399702823,"Lw",67,10
"B","28","31/07/2021","F",4.1,13.7,"","",NA,"B.28.31/07/2021",0.299270072992701,"Lw",67,10
"B","28","31/07/2021","F",3.77,12.46,"","",NA,"B.28.31/07/2021",0.302568218298555,"Lw",67,10
"B","28","31/07/2021","F",3.92,12.79,"","",NA,"B.28.31/07/2021",0.306489444878812,"Lw",67,10
"B","28","31/07/2021","F",4.2,13.83,"","",NA,"B.28.31/07/2021",0.303687635574837,"Lw",67,10
"B","28","31/07/2021","F",4,13.1,"","",NA,"B.28.31/07/2021",0.305343511450382,"Lw",67,10
"B","28","31/07/2021","F",4,13.16,"","",NA,"B.28.31/07/2021",0.303951367781155,"Lw",67,10
"B","28","31/07/2021","F",3.88,12.96,"","",NA,"B.28.31/07/2021",0.299382716049383,"Lw",67,10
"B","28","31/07/2021","F",3.72,12.89,"","",NA,"B.28.31/07/2021",0.288595810705974,"Lw",67,10
"B","28","31/07/2021","F",4.01,13.64,"","",NA,"B.28.31/07/2021",0.293988269794721,"Lw",67,10
"B","28","31/07/2021","F",3.81,12.92,"","",NA,"B.28.31/07/2021",0.294891640866873,"Lw",67,10
"B","28","31/07/2021","F",4.07,13.51,"","",NA,"B.28.31/07/2021",0.301258327165063,"Lw",67,10
"B","28","31/07/2021","F",3.93,12.99,"","",NA,"B.28.31/07/2021",0.302540415704388,"Lw",67,10
"B","28","31/07/2021","F",4.06,13.56,"","",NA,"B.28.31/07/2021",0.299410029498525,"Lw",67,10
"B","28","31/07/2021","F",3.93,13.48,"","",NA,"B.28.31/07/2021",0.291543026706231,"Lw",67,10
